model_name,tags,model_price,Input,Output
ideogram_remix_V_2,Image Generation,0.6,0,0
ideogram_remix_V_2_TURBO,Image Generation,0.3,0,0
ideogram_remix_V_3_DEFAULT,Image Generation,0.3,0,0
ideogram_remix_V_3_QUALITY,Image Generation,0.45,0,0
ideogram_remix_V_3_TURBO,Image Generation,0.15,0,0
ideogram_replace_background_V_3_DEFAULT,Image Generation,0.3,0,0
ideogram_replace_background_V_3_QUALITY,Image Generation,0.45,0,0
ideogram_replace_background_V_3_TURBO,Image Generation,0.15,0,0
ideogram_upscale,Image Generation,0.45,0,0
jimeng-4.0,Image Generation,0.3,0,0
jimeng-4.1,Image Generation,0.3,0,0
jimeng-4.5,Image Generation,0.3,0,0
jimeng-video-3.0,Video Generation,0.38,0,0
jimeng_high_aes_general_v21_L,Video Generation,0,75,75
kimi-k2,Chat,0,4,16
kimi-k2-0711-preview,Chat,0,4,16
kimi-k2-0711-preview-search,"Chat, networking",0,4,16
kimi-k2-0905,,0,4,16
kimi-k2-250905,Chat,0,4,16
kimi-k2-instruct,Chat,0,4,16
kimi-k2-thinking,Chat,0,4,16
kling-advanced-lip-sync,lip sync,0.85,0,0
kling-audio,audio,0.085,0,0
kling-avatar-image2video,Video Generation,0.68,0,0
kling-custom-voices,audio,0.085,0,0
kling-effects,Video Generation,3.4,0,0
kling-image,Image Generation,0.0425,0,0
kling-image-recognize,vision,0.17,0,0
kling-kolors-virtual-try-on,virtual try on,0.85,0,0
kling-lip-sync,lip sync,1.6,0,0
kling-multi-elements,,1.7,0,0
kling-video,"Video Generation,Async",1.7,0,0
kling-video-extend,Video Generation,1.7,0,0
llama-2-13b,Chat,0,2,2
llama-2-70b,Chat,0,2,2
llama-2-7b,Chat,0,2,2
llama-3-70b,Chat,0,4,8
llama-3-8b,Chat,0,2,2
llama-3-sonar-large-32k-chat,Chat,0,1.5,1.5
llama-3-sonar-small-32k-chat,Chat,0,1.5,1.5
llama-3.1-405b,Chat,0,6,12
llama-3.1-405b-instruct,Chat,0,6,12
llama-3.1-70b,Chat,0,4,8
llama-3.1-70b-instruct,Chat,0,4,4
llama-3.1-8b,Chat,0,2,2
llama-3.2-11b-vision-instruct,Chat,0,2,2
llama-3.2-1b-instruct,Chat,0,0.5,0.125
llama-3.2-3b-instruct,Chat,0,1,0.5
llama-3.2-90b-vision-instruct,Chat,0,6,18
longcat-flash-chat,,0,1,5
longcat-flash-thinking,,0,75,75
lucataco/animate-diff,"Image Generation,Async",0.485,0,0
lucataco/flux-dev-lora,"Async,Image Generation",0.22,0,0
lucataco/flux-schnell-lora,"Image Generation,Async",0.0315,0,0
lucataco/remove-bg,"Image Generation,Async",0.0015,0,0
luma_video_api,"Video Generation,Async",2.4,0,0
luma_video_extend_api,"Video Generation,Async",2.4,0,0
mai-ds-r1,,0,1.314,5.256
meta-llama/llama-4-maverick,Chat,0,2.5,10
meta-llama/llama-4-scout,Chat,0,2.5,10
minimax-m2,,0,75,75
minimax/video-01,"Video Generation,Async",2.5,0,0
minimax/video-01-live,"Video Generation,Async",2.5,0,0
mistral-large-latest,Chat,0,2,6
mistral-small-latest,Chat,0,2,6
mj_blend,"Image Generation,Async",0.3,0,0
mj_custom_zoom,"Image Generation,Async",0,0,0
mj_describe,"Image Generation,Async",0.15,0,0
mj_edits,,0.1,0,0
mj_high_variation,"Image Generation,Async",0.3,0,0
